segment_type,segment_value,prediction_count,bout_count,model_bets_count,baseline_bets_count,credible,model_log_loss,baseline_log_loss,delta_log_loss,model_brier_score,baseline_brier_score,delta_brier_score,model_hit_rate,baseline_hit_rate,delta_hit_rate,model_roi,baseline_roi,delta_roi,model_drawdown,baseline_drawdown,delta_drawdown
bookmaker,BetMGM,119,65,62,57,1,0.67677885,0.56422385,-0.11255500,0.24111033,0.18971215,-0.05139818,0.60504202,0.73109244,-0.12605042,-0.25928913,0.15226903,-0.41155816,17.97592593,3.06926407,-14.90666186
bookmaker,BetOnline.ag,55,30,26,27,0,0.67662389,0.69858469,0.02196081,0.24291337,0.25626760,0.01335423,0.50909091,0.54545455,-0.03636364,0.50307692,-0.32436606,0.82744299,6.00000000,9.27045148,3.27045148
bookmaker,BetRivers,64,40,32,31,0,0.66790137,0.58117834,-0.08672303,0.23699933,0.20133221,-0.03566712,0.62500000,0.65625000,-0.03125000,-0.29138930,-0.21000899,-0.08138031,10.65445748,8.08475927,-2.56969821
bookmaker,BetUS,25,19,8,16,0,0.67693685,0.66299379,-0.01394306,0.24268417,0.23540861,-0.00727556,0.52000000,0.60000000,-0.08000000,0.32801471,0.04238684,0.28562786,2.70588235,1.77777778,-0.92810458
bookmaker,Bovada,35,22,15,20,0,0.69243678,0.49897984,-0.19345694,0.24923295,0.16030627,-0.08892668,0.57142857,0.80000000,-0.22857143,-0.34768777,0.25043257,-0.59812034,5.76531662,1.00000000,-4.76531662
bookmaker,DraftKings,80,42,39,38,0,0.65548753,0.57287272,-0.08261481,0.23181596,0.19259744,-0.03921851,0.65000000,0.75000000,-0.10000000,-0.10827160,0.13971935,-0.24799096,6.05925926,2.84453659,-3.21472267
bookmaker,FanDuel,222,123,105,108,1,0.64808514,0.58095045,-0.06713469,0.22789203,0.19888177,-0.02901026,0.60360360,0.68468468,-0.08108108,-0.06265498,-0.04886233,-0.01379265,23.97992808,10.16210002,-13.81782805
edge_threshold_bucket,0.00_to_0.02,13,13,0,6,0,0.70442638,0.71581208,0.01138571,0.25519366,0.26012933,0.00493567,0.53846154,0.38461538,0.15384615,,-0.42109065,,,2.52654388,
edge_threshold_bucket,0.02_to_0.05,28,28,28,10,0,0.62953396,0.63579969,0.00626573,0.21868053,0.22122741,0.00254688,0.67857143,0.67857143,0.00000000,0.07592541,0.28459116,-0.20866575,3.10869565,1.00000000,-2.10869565
edge_threshold_bucket,0.05_to_0.10,55,55,55,19,0,0.66573225,0.65481697,-0.01091528,0.23597566,0.23148004,-0.00449562,0.58181818,0.63636364,-0.05454545,0.00446237,0.19085996,-0.18639760,13.92592593,1.60000000,-12.32592593
edge_threshold_bucket,0.10_to_0.15,60,60,60,7,0,0.65156970,0.59416443,-0.05740527,0.22971771,0.20340054,-0.02631717,0.60000000,0.68333333,-0.08333333,-0.20327895,0.04046617,-0.24374512,19.14354839,1.65007013,-17.49347826
edge_threshold_bucket,0.15_plus,144,144,144,4,1,0.67007429,0.53692344,-0.13315085,0.23869199,0.17913535,-0.05955664,0.58333333,0.73611111,-0.15277778,-0.11033023,-0.11060606,0.00027584,19.63755245,1.00000000,-18.63755245
edge_threshold_bucket,negative,300,300,0,251,1,0.66328216,0.58503481,-0.07824735,0.23524648,0.20101412,-0.03423236,0.60333333,0.69333333,-0.09000000,,-0.01855111,,,21.87218468,
favourite_vs_underdog,favourite,298,298,35,284,1,0.66131535,0.58349678,-0.07781857,0.23429921,0.20023183,-0.03406738,0.60738255,0.69463087,-0.08724832,0.12961209,-0.01133406,0.14094616,2.19354839,19.79645391,17.60290552
favourite_vs_underdog,pickem,4,2,2,1,0,0.95633638,0.69408481,-0.26225156,0.37638880,0.25046836,-0.12592045,0.00000000,0.50000000,-0.50000000,-1.00000000,0.90909091,-1.90909091,2.00000000,0.00000000,-2.00000000
favourite_vs_underdog,underdog,298,298,250,12,1,0.66131535,0.58705297,-0.07426238,0.23429921,0.20114178,-0.03315744,0.59731544,0.68791946,-0.09060403,-0.11299748,0.12000000,-0.23299748,44.04846154,3.00000000,-41.04846154
feature_completeness_bucket,complete_95_plus,523,290,248,259,1,0.66212304,0.58563780,-0.07648524,0.23466724,0.20083358,-0.03383366,0.60229446,0.68833652,-0.08604207,-0.10680478,-0.02001238,-0.08679240,42.92025588,21.18770810,-21.73254778
feature_completeness_bucket,strong_80_94,15,14,8,8,0,0.65749954,0.52224090,-0.13525864,0.23273504,0.17405854,-0.05867649,0.53333333,0.73333333,-0.20000000,0.18432971,0.31372993,-0.12940022,2.00000000,1.00000000,-1.00000000
feature_completeness_bucket,thin_below_60,62,54,31,30,0,0.67445887,0.60448360,-0.06997527,0.24074023,0.20910273,-0.03163750,0.58064516,0.69354839,-0.11290323,-0.02258065,0.06011947,-0.08270011,7.50000000,4.00000000,-3.50000000
fighter_experience_bucket,1_to_3,198,158,79,100,1,0.65405437,0.54344061,-0.11061376,0.23057645,0.18336939,-0.04720706,0.61111111,0.72222222,-0.11111111,-0.23365438,-0.00189391,-0.23176046,20.62536232,9.40136043,-11.22400189
fighter_experience_bucket,4_to_8,324,220,167,160,1,0.66898003,0.59766546,-0.07131457,0.23811190,0.20553721,-0.03257470,0.58950617,0.68209877,-0.09259259,-0.06428139,0.00134130,-0.06562269,31.96496934,9.23694028,-22.72802906
fighter_experience_bucket,9_plus,16,16,10,7,0,0.61878434,0.80483340,0.18604906,0.21372491,0.29660287,0.08287795,0.68750000,0.43750000,0.25000000,0.41807407,-0.38551191,0.80358598,3.00000000,4.00000000,1.00000000
fighter_experience_bucket,debut,62,54,31,30,0,0.67445887,0.60448360,-0.06997527,0.24074023,0.20910273,-0.03163750,0.58064516,0.69354839,-0.11290323,-0.02258065,0.06011947,-0.08270011,7.50000000,4.00000000,-3.50000000
layoff_bucket,0_to_60_days,11,11,6,6,0,0.61079254,0.69854834,0.08775580,0.20990656,0.24999701,0.04009044,0.72727273,0.63636364,0.09090909,0.26234568,-0.22932099,0.49166667,1.25925926,3.00000000,1.74074074
layoff_bucket,181_to_365_days,215,171,95,110,1,0.67184214,0.56671411,-0.10512803,0.23950107,0.19156352,-0.04793755,0.58139535,0.71162791,-0.13023256,-0.10474624,0.02813702,-0.13288326,15.81462158,5.93987968,-9.87474190
layoff_bucket,366_plus_days,56,53,33,17,0,0.66674132,0.59942623,-0.06731508,0.23577309,0.20806353,-0.02770956,0.60714286,0.62500000,-0.01785714,-0.21904472,0.03655193,-0.25559665,10.02847576,2.83870968,-7.18976608
layoff_bucket,61_to_180_days,256,195,122,134,1,0.65488498,0.58994824,-0.06493674,0.23131639,0.20335608,-0.02796031,0.60937500,0.68750000,-0.07812500,-0.07711191,-0.03741713,-0.03969478,25.21978334,16.40527709,-8.81450625
layoff_bucket,missing,62,54,31,30,0,0.67445887,0.60448360,-0.06997527,0.24074023,0.20910273,-0.03163750,0.58064516,0.69354839,-0.11290323,-0.02258065,0.06011947,-0.08270011,7.50000000,4.00000000,-3.50000000
overall,all,600,300,287,297,1,0.66328216,0.58600028,-0.07728188,0.23524648,0.20101868,-0.03422780,0.59833333,0.69000000,-0.09166667,-0.08959215,-0.00292856,-0.08666359,41.25397827,20.32645391,-20.92752436
weight_class,UNKNOWN,600,300,287,297,1,0.66328216,0.58600028,-0.07728188,0.23524648,0.20101868,-0.03422780,0.59833333,0.69000000,-0.09166667,-0.08959215,-0.00292856,-0.08666359,41.25397827,20.32645391,-20.92752436
year,2025,476,238,227,236,1,0.67071197,0.60494413,-0.06576784,0.23889041,0.20913218,-0.02975823,0.58613445,0.67226891,-0.08613445,-0.00335709,-0.02647415,0.02311706,17.51442783,20.32645391,2.81202608
year,2026,124,62,60,61,1,0.63476128,0.51328034,-0.12148094,0.22125849,0.16987331,-0.05138518,0.64516129,0.75806452,-0.11290323,-0.41584812,0.08816584,-0.50401396,26.42436525,3.25900515,-23.16536011
